1	7,17,20,21,35,38,44,58,59,62,63,68,87,89,90,98
2	3,6,8,10,13,15,17,18,19,21,22,25,26,27,30,31,33,34,35,36,37,39,40,41,42,43,49,51,52,53,54,56,58,59,60,63,65,66,70,73,78,79,85,88,90,91,92,94,98
3	6,9,10,11,13,15,18,19,20,21,25,29,30,33,34,35,37,39,41,43,45,46,50,57,58,59,63,64,65,66,71,80,82,84,86,87,96,97,98
4	2,3,7,11,15,16,18,20,35,39,41,42,43,44,46,48,49,58,60,64,67,72,86,88,93,96
5	6,7,11,16,17,23,24,25,28,30,34,35,38,39,42,43,44,48,49,50,51,53,54,55,56,57,61,63,64,66,67,68,75,76,77,81,86,89,90,91,92,93,94,95,96,98
6	10,20,26,37,51,52,66,70,74,83,87,89,100
7	10,12,13,14,18,19,21,22,24,25,26,27,32,37,38,48,50,52,53,63,65,67,68,75,76,77,79,83,84,93,96
8	14,35,37,38,43,61,85
9	5,7,10,13,15,20,21,22,25,30,31,39,40,41,42,43,45,51,53,56,58,66,70,71,73,80,82,83,84,86,87,89,90,98,99,100
10	3,5,12,13,14,15,18,19,20,26,27,29,31,35,41,46,49,73,80,81,84,98
11	5,6,7,9,10,13,17,18,19,23,25,29,31,36,41,44,47,49,51,52,55,58,61,62,66,68,71,73,76,89,91,92,96,97,99
12	8,16,17,25,32,35,36,41,44,50,56,60,61,81,91,92,95,100
13	6,7,8,10,18,19,26,28,31,33,36,39,42,44,46,52,59,60,73,74,75,78,81,83,88,96
14	1,11,12,13,16,19,20,23,24,25,26,28,29,30,31,32,43,44,46,49,50,52,54,55,56,64,65,68,70,73,74,75,76,78,80,81,86,87,88,93,97,98,99
15	4,5,6,7,9,10,16,22,25,29,34,35,40,41,42,49,64,67,70,71,77,79,82,87,88,89,95,98
16	1,2,6,9,10,11,13,14,15,18,20,24,25,27,29,32,33,34,37,38,40,41,44,45,46,51,55,56,57,59,62,64,65,75,77,79,80,81,82,87,88,89,93,94,95,97,98,99
17	39,46,56,65,69,93,98
18	1,3,4,8,9,11,12,13,19,22,23,24,25,27,28,31,34,35,44,46,48,50,51,54,58,60,62,65,66,67,68,69,70,72,74,76,77,78,79,81,86,87,90
19	2,5,8,9,12,13,21,22,25,26,32,35,38,41,52,55,56,61,63,65,66,68,76,78,80,88,90,92,94,99
20	4,8,11,12,24,26,28,29,31,33,39,42,43,44,50,52,58,60,61,67,68,69,71,72,75,77,78,82,84,91,92,96,97,99
21	6,8,13,22,25,27,28,32,33,39,45,53,59,64,71,76,84,93,98,99
22	3,5,8,15,16,20,21,27,28,31,33,34,35,36,44,48,49,54,56,61,62,63,67,68,70,75,76,80,85,90,91,95,97,98,99,100
23	2,7,13,14,28,30,36,37,39,44,46,47,49,51,56,64,70,75,76,81,90,94,96
24	1,3,7,11,13,20,36,38,39,41,43,49,50,55,63,64,66,69,71,74,87,90,91,94,96,97
25	4,5,6,8,17,23,27,29,31,32,39,44,48,53,54,59,67,72,75,97
26	2,3,11,13,14,15,18,21,28,32,38,39,41,43,47,48,49,50,54,56,57,60,62,64,67,68,69,71,72,73,75,84,85,86,87,88,90,92,93,96,97,100
27	4,6,23,33,35,49,51,61,76,79,87,94
28	3,6,9,17,21,23,29,30,34,35,36,37,41,47,50,53,55,56,59,60,62,64,67,68,70,77,80,81,82,85,88,91,92,94,95,96,97,100
29	4,5,20,23,34,44,48,50,63,69,89,93,95,96,97
30	3,4,6,7,20,24,26,38,39,43,47,59,67,68,71,86
31	26,33,46,73,97
32	1,2,3,4,5,6,8,11,14,15,16,18,20,22,27,30,31,39,41,46,48,49,52,56,57,60,61,63,65,69,75,76,77,78,85,86,87,88,89,90,91,92,94,95,97,98,100
33	5,8,14,19,24,27,29,36,37,40,44,51,57,62,64,67,68,71,72,75,80,83,88,92
34	1,2,6,11,12,14,19,22,26,28,29,32,33,35,37,43,46,48,49,54,58,62,64,73,79,80,81,85,87,88,93
35	4,7,10,13,17,19,24,26,29,33,40,42,43,47,52,53,59,60,65,67,72,73,74,81,87,95,97,99,100
36	1,4,5,7,10,12,13,14,16,17,18,22,24,25,26,29,30,31,33,35,38,41,42,47,48,52,54,56,59,63,64,69,70,71,72,75,79,80,81,82,85,93,94,99
37	1,3,8,9,16,17,20,21,23,25,28,30,31,32,34,36,40,43,44,45,49,51,52,53,55,57,59,63,65,68,77,80,81,84,85,86,88,89,90,91,92,93,95,97,99,100
38	1,5,7,9,10,11,13,14,17,20,22,23,27,28,29,30,31,33,34,37,40,42,44,48,49,50,52,54,59,61,65,67,68,69,70,71,72,73,76,77,79,92,94,95,96,98,99
39	9,12,23,27,38,55
40	4,7,13,19,27,29,32,37,42,43,58,62,67,69,72,77,94,95,99
41	2,4,7,15,18,19,30,31,55,57,59,60,62,65,68,73,74,77,86,88,92,100
42	2,3,4,7,9,11,13,24,26,27,28,29,33,38,43,45,49,50,53,54,64,67,69,70,71,73,75,79,80,83,87,88,89,94,95,100
43	7,10,12,13,17,33,36,45,63,71,73,78,79,83,93,95,97,98
44	1,6,15,23,29,36,39,50,60,61,70,73,78,79,89,91,96,99
45	1,2,3,6,13,17,25,26,31,32,34,35,37,39,42,43,44,46,47,59,65,73,74,75,76,78,82,86,89,92,93
46	4,5,7,8,9,10,12,13,14,15,16,18,21,31,32,40,41,42,48,49,60,61,63,64,70,71,73,74,75,76,78,93,96,97,99
47	4,8,10,11,12,15,17,18,20,23,27,30,32,38,42,43,46,48,51,54,56,58,59,62,64,70,78,80,81,84,85,88,93,98
48	23,33,51,54,67,87
49	1,5,22,27,34,36,41,43,60,68,71,72,83,88,94,98
50	7,9,16,32,36,40,52,55,86,88
51	1,2,11,21,25,33,34,35,39,40,46,47,56,68,71,74,75,78,82,89,92,95
52	6,11,16,22,26,31,46,49,61,62,68,69,72,96
53	31,36,43,73,80
54	2,4,8,14,15,16,30,31,36,38,40,60,62,65,76,78,82,93,95
55	7,9,15,16,17,19,30,40,43,44,58,61,70,73,75,77,79,83,85,91,94,95
56	1,3,4,6,9,10,22,23,25,35,36,37,39,42,43,45,52,55,57,61,63,66,69,70,72,73,74,76,79,80,82,84,86,88,90,93,96,99
57	4,9,16,17,20,23,32,47,51,52,64,65,66,69,70,74,77,78,82,87,89,93,99
58	9,12,13,20,34,37,42,44,46,49,52,57,65,67,71,72,78,80,81,82,94
59	1,4,5,7,8,11,13,14,16,21,23,24,26,27,35,39,43,46,47,49,50,51,53,55,56,58,61,65,66,69,75,76,78,82,83,85,90,95,96,97,98
60	4,5,9,41,51,67,71,77,100
61	6,7,10,23,25,30,34,39,42,52,53,55,62,64,68,76,80,87,90,94,97,99
62	2,10,11,14,15,25,54,57,66,70,81,85,86,94,97,99,100
63	1,3,4,5,6,11,12,13,15,16,18,19,20,21,22,24,25,26,29,32,36,39,45,49,50,51,52,53,54,55,56,57,58,61,62,65,66,67,75,76,77,80,81,85,87,88,91,92,94
64	3,44,50,58,76,92,93
65	4,6,8,12,15,16,20,27,28,29,30,32,37,38,40,41,43,44,46,50,52,53,54,55,59,66,71,74,75,84,86,94,95
66	8,11,17,21,22,23,33,37,57,60,67,83,86
67	2,4,6,12,13,17,18,26,28,30,32,42,46,47,51,52,57,59,61,64,74,82,85,87,96,98,99
68	7,23,31,40,52,53,54,56,62,64,81,88
69	1,3,6,7,10,11,13,14,15,16,17,20,27,29,31,32,33,37,40,42,46,47,49,50,51,56,57,61,62,67,72,73,74,75,79,80,81,82,86,87,88,90,92,94,98,100
70	15,16,21,24,34,48,55,57,71,74,77,80
71	2,7,12,27,28,30,34,38,41,46,50,61,64,66,74,75,80,82,92,93,97,99
72	1,2,3,6,7,8,11,12,17,21,26,28,32,35,37,45,46,51,58,59,61,62,66,69,78,83,87,88,91,92,94,97,98,100
73	8,15,17,27,28,47,48,61,63,66,69,93,94,97,100
74	1,5,13,14,17,20,21,22,24,26,27,29,34,42,43,45,53,55,57,60,62,65,66,68,70,72,78,80,82,83,87,89,91,97,98,99
75	1,3,4,5,6,7,8,9,10,14,19,20,24,25,28,31,32,34,35,44,46,47,48,50,54,55,57,61,63,65,67,71,72,76,77,89,92,93,94,96,97,98,99,100
76	9,11,15,18,24,25,26,30,34,44,49,55,61,63,64,69,72,85,87,91,96
77	40,67,78,87,88
78	20,49,52,57,65,96,99
79	4,11,17,18,43,48,49,50,51,54,57,60,71,76,80,85,93,94
80	1,3,4,6,8,16,17,18,24,28,29,30,37,51,55,56,57,64,68,70,72,74,75,81,83,84,90,93,97,98,99
81	21,37,42,55,76,95
82	5,10,16,17,21,35,44,47,54,58,91,97
83	37,41,43,46,70,74
84	2,3,6,8,9,12,14,15,16,20,23,25,28,29,30,31,33,35,37,38,41,44,45,47,48,50,52,54,56,57,58,61,62,64,66,67,70,72,73,76,78,79,80,87,90,92,94,98
85	4,7,11,14,15,16,17,20,22,23,24,25,31,33,34,46,48,49,50,53,55,58,60,61,66,67,72,78,80,84,88,93,97,99
86	1,3,10,20,21,23,27,29,30,39,72,74,79,88
87	2,7,8,11,13,15,16,17,18,19,21,22,23,26,28,29,34,36,37,44,45,48,49,51,53,57,61,63,64,66,69,72,73,74,75,77,78,79,81,84,85,88,90,91,95,96,98
88	1,4,8,11,22,25,30,33,35,38,40,43,45,46,51,52,53,59,69,70,71,75,78
89	2,3,6,11,13,14,19,26,28,30,32,33,34,35,37,43,46,50,61,63,64,65,67,68,69,71,74,75,77,78,80,81,83,84,86,88,93,96,99
90	2,3,4,5,12,13,14,20,21,26,27,28,30,31,32,37,39,41,45,50,55,62,63,69,76,77,78,81,84,91,93,94,96,98
91	2,5,21,22,24,27,29,30,36,38,39,41,43,45,47,48,50,52,54,56,59,60,63,64,66,68,70,71,75,77,78,80,81,82,83,86,90,93,100
92	3,4,5,6,10,12,13,14,16,20,21,23,24,26,28,31,34,35,36,37,38,39,42,45,51,55,62,64,65,66,68,69,70,74,75,77,78,80,81,82,86,89,91,96
93	2,4,7,8,10,11,13,16,17,18,22,25,26,30,31,32,34,35,38,39,42,43,44,45,47,49,50,52,59,65,66,68,70,72,75,76,77,78,79,80,87,88,90,96,97,99
94	14,15,16,18,38,43,44,54,60,63,64,69,74,80,84,90,91
95	4,6,13,18,22,24,25,33,35,36,37,40,42,46,47,49,51,52,53,63,67,69,72,73,74,75,76,79,82,85,89,90,92
96	25,33,66,72,99
97	11,12,14,16,21,40,48,52,56,62,63,74,76,84,87,93,99
98	4,19,25,29,52,55,71,85,100
99	9,17,23,37,41,45,48,51,58,80,88
100	9,18,19,23,28,36,42,45,57,74,82,86,91,92,95
